Book,Author,Bindings,Price,Discount Percentage,Discount Price
A Man Called Ove : Now a major film starring Tom Hanks...,"Backman, Fredrik",Paperback,Rp 200000,N/A,Rp N/A
Forrest Gump,"Groom, Winston",Paperback,Rp 278000,N/A,Rp N/A
Twelve Years a Slave,"Northrup, Solomon",Paperback,Rp 163000,N/A,Rp N/A
The Godfather: 50th Anniversary Edition,"Puzo, Mario",Paperback,Rp 340000,N/A,Rp N/A
All Quiet on the Western Front,"Remarque, Erich Maria",Paperback,Rp 134000,N/A,Rp N/A
Requiem for a Dream,"Selby, Hubert",Paperback,Rp 279000,N/A,Rp N/A
Hidden Figures,"Shetterly, Margot Lee",Paperback,Rp 189000,-26%,Rp 238140
Call Me By Your Name,"Aciman, Andre",Paperback,Rp 200000,N/A,Rp N/A
Little Women,"Alcott, Louisa May",Paperback,Rp 210000,N/A,Rp N/A
Little Women,"Alcott, Louisa May",Hardcover,Rp 245000,N/A,Rp N/A
Little Women,"Alcott, Louisa May",Paperback,Rp 124000,-3%,Rp 127720
Little Women,"Alcott, Louisa May",Hardcover,Rp 198000,N/A,Rp N/A
Sense and Sensibility,"Anderson, Taylor",Paperback,Rp 224000,N/A,Rp N/A
Sense and Sensibility,"Austen, Jane",Hardcover,Rp 198000,N/A,Rp N/A
Sense and Sensibility,"Austen, Jane",Paperback,Rp 117000,-37%,Rp 160290
Sense and Sensibility,"Austen, Jane",Paperback,Rp 325000,N/A,Rp N/A
A Man Called Ove,"Backman, Fredrik",Paperback,Rp 294000,N/A,Rp N/A
The Wizard of Oz,"Baum, L. Frank",Paperback,Rp 160000,N/A,Rp N/A
The Wizard of Oz,"Baum, L. Frank",Paperback,Rp 262000,N/A,Rp N/A
The Wizard of Oz,"Baum, L. Frank",Paperback,Rp 147000,N/A,Rp N/A
The Exorcist,"Blatty, William Peter",Paperback,Rp 278000,N/A,Rp N/A
Psycho,"Bloch, Robert",Paperback,Rp 244000,N/A,Rp N/A
Doctor Zhivago,"Boris, Pasternak",Paperback,Rp 479000,N/A,Rp N/A
The Bridge On The River Kwai :,"Boulle, Pierre",Paperback,Rp 200000,N/A,Rp N/A
Breakfast at Tiffany's,"Capote, Truman",Paperback,Rp 262000,N/A,Rp N/A
Breakfast at Tiffany's,"Capote, Truman",Paperback,Rp 180000,N/A,Rp N/A
Wonder Boys,"Chabon, Michael",Paperback,Rp 220000,N/A,Rp N/A
The Perks of Being a Wallflower,"Chbosky, Stephen",Paperback,Rp 347000,N/A,Rp N/A
The Perks of Being a Wallflower YA edition :,"Chbosky, Stephen",Paperback,Rp 160000,N/A,Rp N/A
The Perks of Being a Wallflower : the most moving ...,"Chbosky, Stephen",Paperback,Rp 180000,N/A,Rp N/A
Jurassic Park,"Crichton, Michael",Paperback,Rp 163000,N/A,Rp N/A
Great Expectations,"Dickens, Charles",Paperback,Rp 97000,N/A,Rp N/A
Great Expectations,"Dickens, Charles",Hardcover,Rp 261000,N/A,Rp N/A
Great Expectations,"Dickens, Charles",Paperback,Rp 327000,N/A,Rp N/A
Room,"Donoghue, Emma",Paperback,Rp 180000,N/A,Rp N/A
Modern Classics Dont Look Now and Other Stories,"Du, Maurier Daphne",Paperback,Rp 200000,N/A,Rp N/A
Twelve Years a Slave,-,Paperback,Rp 235000,N/A,Rp N/A
American Psycho,"Ellis, Bret Easton",Paperback,Rp 200000,N/A,Rp N/A
L.A. Confidential,"Ellroy, James",Hardcover,Rp 576000,N/A,Rp N/A
LA Confidential,"Ellroy, James",Paperback,Rp 200000,N/A,Rp N/A
Forrest Gump,"Groom, Winston",Paperback,Rp 180000,N/A,Rp N/A
To All the Boys I've Loved Before,"Han, Jenny",Paperback,Rp 180000,N/A,Rp N/A
To All the Boys I've Loved Before,"Han, Jenny",Paperback,Rp 198000,-68%,Rp 332640
The Silence of the Lambs,"Harris, Thomas",Paperback,Rp 207000,N/A,Rp N/A
The Silence of the Lambs,"Harris, Thomas",Paperback,Rp 294000,N/A,Rp N/A
Dune,"Herbert, Frank",Paperback,Rp 360000,N/A,Rp N/A
Dune Messiah,"Herbert, Frank",Paperback,Rp 147000,N/A,Rp N/A
Children of Dune,"Herbert, Frank",Paperback,Rp 163000,N/A,Rp N/A
God Emperor of Dune,"Herbert, Frank",Paperback,Rp 200000,N/A,Rp N/A
Heretics of Dune,"Herbert, Frank",Paperback,Rp 200000,N/A,Rp N/A
Chapterhouse: Dune,"Herbert, Frank",Paperback,Rp 200000,N/A,Rp N/A
